魏 B-name
领 I-name
， 0
河 B-position
南 I-position
珍 I-position
宝 I-position
艺 I-position
术 I-position
文 I-position
物 I-position 
书 I-position
画 I-position
司 I-position
法 I-position
鉴 I-position
定 I-position
所 I-position
所 I-position
长 I-position
， 0
国 B-position
家 I-position
文 I-position
物 I-position
艺 I-position
术 I-position
品 I-position
司 I-position
法 I-position
鉴 I-position
定 I-position
专 I-position
家 I-position
， 0
河 B-position
南 I-position
省 I-position
现 I-position
代 I-position
艺 I-position
术 I-position
院 I-position
院 I-position
长 I-position
， 0
拾 B-position
文 I-position
化 I-position
合 I-position
作 I-position
司 I-position
法 I-position
鉴 I-position
定 I-position
专 I-position
家 I-position
、 0
书 B-position
画 I-position
家 I-position
。 0
， 0
河 B-position
南 I-position
珍 I-position
宝 I-position
艺 I-position
术 I-position
文 I-position
物 I-position
书 I-position
画 I-position
司 I-position
法 I-position
鉴 I-position
定 I-position
所 I-position
所 I-position
长 I-position
" 0
