金 B-name
石 I-name
开 I-name
： O
卢 B-organization
森 I-organization
堡 I-organization
那 O
场 O
球 O
赢 O
得 O
极 O
其 O
诡 O
异 O
。 O
不 O
过 O
， O
卢 B-organization
森 I-organization
堡 I-organization
本 O
场 O
的 O
境 O
况 O
和 O
上 O
轮 O
完 O
全 O
不 O
同 O
， O
消 O
息 O
来 O
源 O
表 O
示 O
， O
尽 O
管 O
M B-company
i I-company
d I-company
w I-company
a I-company
y I-company
与 O
育 B-company
碧 I-company
之 O
间 O
已 O
经 O
就 O
《 B-movie
汽 I-movie
车 I-movie
驾 I-movie
驶 I-movie
员 I-movie
》 I-movie
（ B-movie
W I-movie
h I-movie
e I-movie
e I-movie
l I-movie
m I-movie
a I-movie
n I-movie
） I-movie
该 O
案 O
在 O
上 B-address
海 I-address
卢 I-address
湾 I-address
区 I-address
法 O
院 O
开 O
庭 O
， O
成 O
为 O
国 O
内 O
首 O
个 O
涉 O
及 O
投 O
资 O
外 O
资 O
银 O
行 O
理 O
财 O
产 O
品 O
亏 O
损 O
的 O
案 O
件 O
。 O
END O
