T B-company
h I-company
e I-company
N I-company
o I-company
r I-company
t I-company
h I-company
F I-company
a I-company
c I-company
e I-company
赞 O
助 O
运 O
动 O
员 O
； O
K B-name
2 I-name
S I-name
k I-name
i I-name
； O
S B-name
m I-name
i I-name
t I-name
h I-name
； O
S B-name
K I-name
I I-name
N I-name
S I-name
； O
S B-name
c I-name
a I-name
r I-name
p I-name
a I-name
B I-name
o I-name
o I-name
t I-name
s I-name
； O
D B-name
y I-name
n I-name
a I-name
f I-name
i I-name
t I-name
S I-name
k I-name
i I-name
； O
S B-name
e I-name
c I-name
t I-name
o I-name
r I-name
N I-name
o I-name
L I-name
i I-name
m I-name
i I-name
t I-name
s I-name
， O
资 O
深 O
登 O
山 O
滑 O
雪 O
户 B-position
外 I-position
玩 I-position
家 I-position
王 B-name
小 I-name
源 I-name
END O
