G B-name
e I-name
n I-name
e I-name
t I-name
t I-name
e I-name
的 O
“ O
侧 O
文 O
本 O
” O
理 O
论 O
。 O
对 O
于 O
文 O
学 O
作 O
品 O
而 O
言 O
， O
侧 O
文 O
本 O
可 O
以 O
是 O
任 O
何 O
不 O
涵 O
盖 O
在 O
“ O
主 O
文 O
本 O
” O
而 O
不 O
是 O
看 O
故 B-scene
宫 I-scene
， O
包 O
括 O
巴 B-address
黎 I-address
的 O
埃 B-scene
菲 I-scene
尔 I-scene
铁 I-scene
塔 I-scene
， O
一 O
开 O
始 O
的 O
时 O
候 O
法 O
国 O
人 O
想 O
把 O
它 O
拆 O
掉 O
， O
。 O
央 B-government
行 I-government
数 O
据 O
显 O
示 O
， O
今 O
年 O
一 O
季 O
度 O
， O
信 O
用 O
卡 O
逾 O
期 O
半 O
年 O
未 O
偿 O
信 O
贷 O
总 O
额 O
达 O
4 O
9 O
. O
7 O
亿 O
元 O
， O
同 O
比 O
增 O
加 O
了 O
1 O
3 O
3 O
% O
， O
只 O
有 O
到 O
线 O
下 O
比 O
赛 O
的 O
时 O
候 O
战 O
友 O
们 O
才 O
会 O
彼 O
此 O
见 O
面 O
， O
这 O
是 O
由 O
《 B-game
特 I-game
种 I-game
部 I-game
队 I-game
》 I-game
这 O
款 O
游 O
戏 O
所 O
建 O
立 O
起 O
来 O
的 O
友 O
谊 O
的 O
桥 O
梁 O
。 O
END O
