市 B-government
住 I-government
建 I-government
委 I-government
有 O
关 O
负 B-position
责 I-position
人 I-position
表 O
示 O
， O
政 O
策 O
房 O
出 O
现 O
群 O
租 O
要 O
坚 O
决 O
清 O
退 O
， O
而 O
彻 O
底 O
整 O
治 O
这 O
些 O
问 O
题 O
需 O
要 O
群 O
众 O
监 O
督 O
， O
多 O
个 O
部 O
门 O
联 O
手 O
合 O
作 O
， O
巴 B-organization
萨 I-organization
进 O
来 O
状 O
态 O
神 O
勇 O
， O
几 O
条 O
战 O
线 O
均 O
势 O
不 O
可 O
挡 O
， O
攻 O
击 O
力 O
让 O
人 O
恐 O
怖 O
。 O
瓜 B-name
迪 I-name
奥 I-name
拉 I-name
的 O
轮 O
换 O
打 O
法 O
让 O
球 O
队 O
找 O
到 O
了 O
获 O
胜 O
的 O
节 O
奏 O
。 O
END O
