D B-game
o I-game
t I-game
A I-game
训 O
练 O
W B-organization
E I-organization
. I-organization
i I-organization
- I-organization
R I-organization
o I-organization
c I-organization
k I-organization
s I-organization
. I-organization
Z B-name
i I-name
p I-name
p I-name
O I-name
第 O
一 O
视 O
角 O
2 O
0 O
1 O
1 O
年 O
6 O
月 O
5 O
日 O
周 O
日 O
一 O
家 O
股 B-company
份 I-company
制 I-company
银 I-company
行 I-company
深 I-company
圳 I-company
分 I-company
行 I-company
行 B-position
长 I-position
说 O
， O
在 O
宏 O
观 O
经 O
济 O
不 O
确 O
定 O
的 O
情 O
况 O
下 O
， O
银 O
行 O
最 O
不 O
安 O
全 O
的 O
借 O
贷 O
方 O
式 O
， O
青 B-book
年 I-book
周 I-book
末 I-book
： O
您 O
是 O
吴 B-name
冠 I-name
中 I-name
大 B-position
师 I-position
的 O
作 O
品 O
操 B-position
盘 I-position
手 I-position
， O
您 O
能 O
保 O
证 O
你 O
操 O
作 O
的 O
清 O
白 O
吗 O
？ O
END O
