中 B-company
视 I-company
亚 I-company
太 I-company
传 I-company
媒 I-company
旗 O
下 O
实 O
力 O
偶 B-position
像 I-position
流 I-position
行 I-position
女 I-position
歌 I-position
手 I-position
景 B-name
心 I-name
妍 I-name
（ O
V O
C O
女 O
郎 O
） O
。 O
个 O
人 O
单 O
曲 O
： O
《 O
寂 O
寞 O
才 O
说 O
爱 O
》 O
、 O
《 O
名 O
伶 O
往 O
事 O
》 O
《 O
爱 O
上 O
没 O
良 O
心 O
》 O
， O
2 O
0 O
1 O
1 O
年 O
最 O
新 O
单 O
曲 O
《 O
桂 O
花 O
树 O
之 O
恋 O
》 O
。 O
， O
歌 B-position
手 I-position
景 B-name
心 I-name
妍 I-name
， O
代 O
表 O
作 O
《 O
寂 O
寞 O
才 O
说 O
爱 O
》 O
END O
