澳 B-scene
门 I-scene
旅 I-scene
游 I-scene
塔 I-scene
是 O
目 O
前 O
世 O
界 O
上 O
唯 O
一 O
可 O
以 O
让 O
你 O
体 O
验 O
攀 O
登 O
高 O
塔 O
的 O
惊 O
险 O
滋 O
味 O
的 O
地 O
方 O
， O
如 O
果 O
你 O
时 O
间 O
有 O
限 O
， O
解 O
析 O
林 B-address
达 I-address
海 I-address
渔 I-address
城 I-address
市 I-address
综 O
合 O
体 O
需 O
要 O
的 O
几 O
大 O
要 O
素 O
（ O
组 O
图 O
） O
本 O
场 O
对 O
首 O
战 O
主 O
场 O
2 O
- O
2 O
平 O
南 B-organization
锡 I-organization
的 O
波 B-address
兰 I-address
球 O
队 O
波 B-organization
兹 I-organization
南 I-organization
莱 I-organization
施 I-organization
， O
凭 O
其 O
实 O
力 O
无 O
非 O
是 O
擒 O
是 O
纵 O
。 O
END O
