魔 B-game
兽 I-game
争 I-game
霸 I-game
3 I-game
北 B-government
京 I-government
市 I-government
第 I-government
一 I-government
中 I-government
级 I-government
人 I-government
民 I-government
法 I-government
院 I-government
1 O
5 O
日 O
上 O
午 O
对 O
国 B-government
家 I-government
开 I-government
发 I-government
银 I-government
行 I-government
原 O
副 B-position
行 I-position
长 I-position
王 B-name
益 I-name
作 O
出 O
一 O
审 O
判 O
决 O
， O
认 O
定 O
王 B-name
益 I-name
犯 O
受 O
贿 O
罪 O
， O
判 O
处 O
死 O
刑 O
， O
( O
半 O
月 O
沉 O
江 O
为 O
南 B-scene
普 I-scene
陀 I-scene
寺 I-scene
的 O
一 O
道 O
素 O
席 O
名 O
菜 O
。 O
一 O
半 O
香 O
菇 O
为 O
黑 O
色 O
， O
一 O
半 O
面 O
筋 O
为 O
白 O
色 O
， O
孜 B-address
许 I-address
乡 I-address
书 B-position
记 I-position
邹 B-name
堂 I-name
权 I-name
孜 B-address
许 I-address
乡 I-address
书 B-position
记 I-position
邹 B-name
堂 I-name
梗 I-name
孜 B-address
许 I-address
乡 I-address
按 O
整 O
改 O
要 O
求 O
进 O
一 O
步 O
整 O
理 O
基 O
础 O
数 O
据 O
乡 B-position
长 I-position
! O
但 O
是 O
世 O
界 O
建 B-position
筑 I-position
师 I-position
上 O
有 O
一 O
个 O
新 O
的 O
概 O
念 O
就 O
是 O
地 O
主 O
义 O
， O
地 O
方 O
主 O
义 O
就 O
是 O
要 O
表 O
达 O
地 O
方 O
的 O
文 O
化 O
。 O
文 O
化 O
的 O
建 O
筑 O
最 O
有 O
可 O
能 O
地 O
方 O
主 O
义 O
。 O
END O
