苏 B-address
园 I-address
充 O
分 O
考 O
量 O
当 O
代 O
财 O
智 O
阶 O
层 O
寄 O
情 O
山 O
水 O
的 O
精 O
神 O
格 O
调 O
（ O
论 O
坛 O
相 O
册 O
户 O
型 O
样 O
板 O
间 O
点 O
评 O
地 O
图 O
搜 O
索 O
） O
, O
中 O
场 O
： O
巴 B-name
拉 I-name
克 I-name
（ B-organization
切 I-organization
尔 I-organization
西 I-organization
） I-organization
、 O
弗 B-name
林 I-name
斯 I-name
（ B-organization
不 I-organization
莱 I-organization
梅 I-organization
） I-organization
、 O
希 B-name
策 I-name
尔 I-name
斯 I-name
贝 I-name
格 I-name
（ B-organization
斯 I-organization
图 I-organization
加 I-organization
特 I-organization
） I-organization
、 O
琼 B-name
斯 I-name
（ B-organization
沙 I-organization
尔 I-organization
克 I-organization
0 I-organization
4 I-organization
） I-organization
、 O
罗 B-name
尔 I-name
费 I-name
斯 I-name
（ O
《 B-movie
超 I-movie
世 I-movie
纪 I-movie
战 I-movie
警 I-movie
》 I-movie
改 O
编 O
自 O
V B-name
i I-name
n I-name
D I-name
i I-name
e I-name
s I-name
e I-name
l I-name
所 O
主 O
演 O
的 O
同 O
名 O
电 O
影 O
, O
该 O
省 B-organization
保 I-organization
险 I-organization
行 I-organization
业 I-organization
协 I-organization
会 I-organization
亦 O
决 O
定 O
, O
中 B-organization
国 I-organization
城 I-organization
市 I-organization
规 I-organization
划 I-organization
协 I-organization
会 I-organization
副 B-position
会 I-position
长 I-position
柯 B-name
焕 I-name
章 I-name
桑 B-organization
坦 I-organization
德 I-organization
以 O
前 O
给 O
人 O
感 O
觉 O
每 O
个 O
赛 O
季 O
都 O
忙 O
着 O
保 O
级 O
, O
有 O
好 O
球 B-position
员 I-position
就 O
卖 O
走 O
赚 O
钱 O
, O
毫 O
无 O
大 O
志 O
。 O
去 O
年 O
神 O
了 O
, O
竟 O
然 O
以 O
“ O
黑 O
鱼 O
” O
1 O
门 B-organization
兴 I-organization
, O
取 O
得 O
近 O
4 O
场 O
比 O
赛 O
的 O
首 O
个 O
胜 O
利 O
, O
对 O
强 O
队 O
表 O
现 O
平 O
平 O
。 O
但 O
目 O
前 O
b B-organization
e I-organization
t I-organization
3 I-organization
6 I-organization
5 I-organization
、 O
澳 B-organization
彩 I-organization
等 O
公 O
司 O
多 O
开 O
出 O
半 O
球 O
盘 O
, O
晨 B-book
报 I-book
记 B-position
者 I-position
李 B-name
强 I-name
报 O
道 O
针 O
对 O
部 O
分 O
银 O
行 O
封 O
杀 O
支 B-company
付 I-company
宝 I-company
, O
终 O
止 O
与 O
支 B-company
付 I-company
宝 I-company
的 O
合 O
作 O
关 O
系 O
一 O
事 O
, O
上 B-government
海 I-government
银 I-government
监 I-government
局 I-government
有 O
关 O
人 O
士 O
表 O
示 O
, O
END O
