省 B-government
公 I-government
安 I-government
厅 I-government
经 I-government
侦 I-government
总 I-government
队 I-government
总 B-position
队 I-position
长 I-position
黄 B-name
建 I-name
华 I-name
介 O
绍 O
， O
识 O
别 O
假 O
币 O
最 O
简 O
单 O
的 O
方 O
法 O
就 O
是 O
一 O
看 O
： O
看 O
钞 O
票 O
的 O
水 O
印 O
是 O
否 O
清 O
晰 O
， O
像 O
李 B-name
同 I-name
这 O
样 O
无 O
充 O
足 O
抵 O
押 O
物 O
从 O
银 O
行 O
贷 O
款 O
又 O
短 O
期 O
急 O
需 O
资 O
金 O
的 O
企 O
业 O
并 O
不 O
少 O
， O
这 O
已 O
经 O
直 O
接 O
反 O
映 O
在 O
民 O
间 O
拆 O
借 O
利 O
率 O
水 O
平 O
上 O
。 O
END O
