张 B-name
俊 I-name
以 I-name
， O
男 O
， O
词 B-position
作 I-position
家 I-position
、 O
诗 B-position
人 I-position
、 O
导 B-position
演 I-position
、 O
出 B-position
品 I-position
人 I-position
， O
代 O
表 O
作 O
《 O
母 O
亲 O
》 O
《 O
向 O
天 O
再 O
借 O
五 O
百 O
年 O
》 O
《 O
咱 O
老 O
百 O
姓 O
》 O
《 O
欢 O
乐 O
中 O
国 O
年 O
》 O
《 O
快 O
乐 O
指 O
南 O
》 O
《 O
怎 O
么 O
H O
a O
p O
p O
y O
》 O
等 O
五 O
百 O
余 O
首 O
歌 O
曲 O
， O
著 B-position
名 I-position
词 I-position
作 I-position
家 I-position
、 O
导 B-position
演 I-position
、 O
出 B-position
品 I-position
人 I-position
END O
