G B-organization
联 I-organization
赛 I-organization
线 O
下 O
赛 O
星 B-game
际 I-game
2 I-game
冠 O
军 O
独 O
得 O
1 O
5 O
万 O
奖 O
金 O
T B-company
a I-company
k I-company
e I-company
- I-company
T I-company
w I-company
o I-company
称 O
与 O
F B-government
T I-government
C I-government
达 O
成 O
信 O
息 O
披 O
露 O
协 O
议 O
2 O
0 O
0 O
8 O
年 O
3 O
月 O
1 O
1 O
日 O
, O
汤 B-name
姆 I-name
- I-name
克 I-name
鲁 I-name
斯 I-name
在 O
贝 B-address
弗 I-address
利 I-address
山 I-address
庄 I-address
购 O
买 O
了 O
一 O
套 O
3 O
5 O
0 O
0 O
万 O
美 O
金 O
的 O
别 O
墅 O
, O
END O
