煤 B-organization
矿 I-organization
文 I-organization
工 I-organization
团 I-organization
国 B-position
家 I-position
一 I-position
级 I-position
演 I-position
员 I-position
代 O
表 O
作 O
： O
《 B-movie
喜 I-movie
欢 I-movie
你 I-movie
》 I-movie
《 B-movie
家 I-movie
园 I-movie
》 I-movie
《 B-movie
火 I-movie
把 I-movie
》 I-movie
《 B-movie
月 I-movie
亮 I-movie
偷 I-movie
着 I-movie
哭 I-movie
》 I-movie
《 B-movie
太 I-movie
小 I-movie
的 I-movie
鞋 I-movie
子 I-movie
》 I-movie
《 B-movie
天 I-movie
边 I-movie
的 I-movie
格 I-movie
桑 I-movie
花 I-movie
》 I-movie
. O
. O
. O
工 O
作 O
邀 O
约 O
： O
1 B-mobile
3 I-mobile
6 I-mobile
0 I-mobile
1 I-mobile
2 I-mobile
8 I-mobile
3 I-mobile
5 I-mobile
6 I-mobile
9 I-mobile
@ O
郝 B-name
经 I-name
安 I-name
， O
著 O
名 O
歌 O
手 O
、 O
演 B-position
员 I-position
， O
代 O
表 O
作 O
《 B-movie
喜 I-movie
欢 I-movie
你 I-movie
》 I-movie
《 B-movie
月 I-movie
亮 I-movie
偷 I-movie
着 I-movie
哭 I-movie
》 I-movie
《 B-movie
火 I-movie
把 I-movie
》 I-movie
. O
. O
. O
END O
