本 B-company
山 I-company
传 I-company
媒 I-company
首 O
位 O
签 O
约 O
导 B-position
演 I-position
。 O
编 O
导 O
代 O
表 O
作 O
≪ B-movie
十 I-movie
全 I-movie
十 I-movie
美 I-movie
之 I-movie
三 I-movie
喜 I-movie
临 I-movie
门 I-movie
》 I-movie
《 B-movie
爱 I-movie
情 I-movie
维 I-movie
修 I-movie
站 I-movie
》 I-movie
《 B-movie
抓 I-movie
紧 I-movie
时 I-movie
间 I-movie
爱 I-movie
》 I-movie
《 B-movie
偶 I-movie
然 I-movie
英 I-movie
雄 I-movie
》 I-movie
座 O
右 O
铭 O
： O
不 O
能 O
当 O
编 O
剧 O
的 O
制 B-position
片 I-position
人 I-position
， O
您 O
就 O
别 O
当 O
导 O
演 O
了 O
， O
电 B-position
影 I-position
导 I-position
演 I-position
王 B-name
宁 I-name
END O
