王 B-name
文 I-name
军 I-name
私 O
房 O
麻 O
辣 O
小 O
龙 O
虾 O
， O
纽 O
约 O
送 O
货 O
上 O
门 O
， O
电 O
话 O
3 B-mobile
4 I-mobile
7 I-mobile
- I-mobile
7 I-mobile
3 I-mobile
8 I-mobile
- I-mobile
8 I-mobile
7 I-mobile
2 I-mobile
3 I-mobile
， O
微 O
信 O
w B-vx
w I-vx
j I-vx
s I-vx
h I-vx
o I-vx
w I-vx
. O
马 O
上 O
订 O
购 O
吧 O
！ O
， O
演 B-position
员 I-position
歌 B-position
手 I-position
2 O
0 O
1 O
0 O
快 O
乐 O
男 O
生 O
北 O
美 O
唱 O
区 O
5 O
强 O
美 B-organization
国 I-organization
I I-organization
C I-organization
N I-organization
国 I-organization
际 I-organization
卫 I-organization
视 I-organization
执 B-position
行 I-position
制 I-position
片 I-position
人 I-position
END O
