深 B-book
圳 I-book
特 I-book
区 I-book
报 I-book
记 B-position
者 I-position
赵 B-name
新 I-name
明 B-name
文 I-name
不 O
过 O
在 O
李 B-name
贵 I-name
斌 I-name
看 O
来 O
， O
“ B-address
光 I-address
耀 I-address
东 I-address
方 I-address
广 I-address
场 I-address
” I-address
成 O
功 O
的 O
意 O
义 O
不 O
止 O
于 O
此 O
。 O
他 O
曾 O
经 O
给 O
员 O
工 O
们 O
算 O
过 O
这 O
样 O
一 O
笔 O
账 O
： O
“ O
盘 O
活 O
‘ O
签 O
证 O
签 O
发 O
费 O
应 O
在 O
签 O
证 O
获 O
得 O
批 O
准 O
后 O
在 O
美 B-government
国 I-government
使 I-government
领 I-government
馆 I-government
用 O
美 O
元 O
或 O
当 O
地 O
货 O
币 O
支 O
付 O
。 O
END O
