日 B-company
出 I-company
工 I-company
作 I-company
室 I-company
- O
- O
- O
平 O
面 O
/ O
廣 O
告 O
/ O
活 O
動 O
/ O
戲 O
劇 O
工 O
作 O
接 O
洽 O
｜ O
※ O
工 O
作 O
聯 O
絡 O
S O
a O
m O
m O
i O
： O
0 B-mobile
9 I-mobile
2 I-mobile
2 I-mobile
- I-mobile
6 I-mobile
5 I-mobile
2 I-mobile
- I-mobile
8 I-mobile
2 I-mobile
0 I-mobile
J O
o O
b O
b O
y O
: O
0 B-mobile
9 I-mobile
1 I-mobile
3 I-mobile
- I-mobile
6 I-mobile
5 I-mobile
9 I-mobile
- I-mobile
8 I-mobile
9 I-mobile
5 I-mobile
歡 O
迎 O
合 O
作 O
別 O
懷 O
疑 O
! O
! O
是 O
本 O
人 O
! O
， O
棒 O
棒 O
堂 O
成 O
员 O
野 O
兽 O
END O
