江 B-address
干 I-address
区 I-address
建 I-address
设 I-address
工 I-address
程 I-address
质 I-address
量 I-address
安 I-address
全 I-address
监 I-address
督 I-address
站 I-address
质 O
量 O
监 O
督 O
， O
工 O
程 O
分 O
两 O
个 O
标 O
段 O
， O
她 O
得 O
知 O
开 O
卡 O
后 O
两 O
个 O
月 O
内 O
不 O
刷 O
卡 O
将 O
收 O
取 O
1 O
0 O
0 O
元 O
年 O
费 O
。 O
小 B-name
朱 I-name
以 O
民 B-company
生 I-company
银 I-company
行 I-company
未 O
明 O
确 O
告 O
知 O
、 O
侵 O
权 O
为 O
由 O
， O
邮 B-company
储 I-company
北 I-company
分 I-company
行 I-company
长 O
助 B-position
理 I-position
李 B-name
静 I-name
姝 I-name
： O
打 O
造 O
特 O
色 O
零 O
售 O
商 O
行 O
那 O
么 O
来 O
到 O
塞 B-scene
班 I-scene
岛 I-scene
度 O
蜜 O
月 O
， O
首 O
先 O
考 O
虑 O
的 O
应 O
当 O
是 O
选 O
择 O
一 O
个 O
高 O
端 O
浪 O
漫 O
的 O
酒 O
店 O
， O
推 O
荐 O
理 O
由 O
： O
四 O
方 O
区 O
域 O
地 O
标 O
、 O
四 O
座 O
公 B-scene
园 I-scene
环 O
抱 O
锡 B-organization
耶 I-organization
纳 I-organization
客 O
场 O
7 O
战 O
不 O
胜 O
， O
攻 O
击 O
力 O
也 O
不 O
强 O
， O
所 O
以 O
首 O
选 O
平 O
局 O
， O
次 O
选 O
切 B-organization
沃 I-organization
胜 O
。 O
END O
