S B-name
a I-name
m I-name
u I-name
e I-name
l I-name
W I-name
i I-name
t I-name
w I-name
e I-name
r I-name
原 O
本 O
是 O
《 B-movie
星 I-movie
球 I-movie
大 I-movie
战 I-movie
》 I-movie
电 O
影 O
里 O
的 O
演 B-position
员 I-position
， O
大 B-book
众 I-book
软 I-book
件 I-book
： O
《 B-game
仙 I-game
剑 I-game
奇 I-game
侠 I-game
传 I-game
五 I-game
》 I-game
仙 O
情 O
难 O
释 O
但 O
是 O
现 O
代 O
建 O
筑 O
由 O
于 O
美 O
学 O
的 O
参 O
与 O
， O
设 B-position
计 I-position
师 I-position
只 O
重 O
视 O
美 O
学 O
啊 O
， O
没 O
有 O
涉 O
及 O
到 O
风 O
水 O
， O
不 O
是 O
设 O
计 O
师 O
无 O
知 O
， O
这 O
也 O
是 O
我 O
们 O
在 O
研 O
究 O
贝 O
先 O
生 O
苏 B-organization
州 I-organization
博 I-organization
物 I-organization
馆 I-organization
所 O
拿 O
到 O
的 O
一 O
些 O
资 O
料 O
。 O
END O
