杭 B-company
州 I-company
富 I-company
阳 I-company
阿 I-company
贝 I-company
哥 I-company
工 I-company
作 I-company
室 I-company
在 O
北 B-address
京 I-address
接 O
受 O
媒 O
体 O
采 O
访 O
: O
央 B-organization
视 I-organization
、 O
新 B-organization
华 I-organization
社 O
、 O
人 B-organization
民 I-organization
日 I-organization
报 I-organization
、 O
香 B-organization
港 I-organization
t I-organization
v I-organization
b I-organization
、 O
山 B-organization
东 I-organization
卫 I-organization
视 I-organization
、 O
湖 B-organization
南 I-organization
卫 I-organization
视 I-organization
、 O
浙 B-organization
江 I-organization
卫 I-organization
视 I-organization
。 O
请 O
微 O
博 O
网 O
友 O
多 O
多 O
支 O
持 O
与 O
关 O
注 O
！ O
转 O
发 O
！ O
， O
网 O
络 O
红 O
人 O
、 O
演 O
员 O
阿 O
贝 O
哥 O
END O
