姜 B-name
山 I-name
： O
罗 B-organization
马 I-organization
尽 O
管 O
在 O
上 O
周 O
末 O
拿 O
下 O
了 O
拉 B-organization
齐 I-organization
奥 I-organization
， O
但 O
目 O
前 O
他 O
们 O
的 O
客 O
场 O
战 O
绩 O
却 O
是 O
全 O
意 B-organization
甲 I-organization
最 O
差 O
— O
— O
— O
1 O
平 O
5 O
负 O
， O
本 O
场 O
客 O
战 O
莱 B-organization
切 I-organization
， O
就 O
是 O
由 O
我 O
们 O
中 B-government
国 I-government
房 I-government
地 I-government
产 I-government
及 I-government
住 I-government
宅 I-government
研 I-government
究 I-government
会 I-government
人 I-government
居 I-government
环 I-government
境 I-government
委 I-government
员 I-government
会 I-government
和 O
内 B-government
蒙 I-government
古 I-government
乌 I-government
审 I-government
旗 I-government
政 I-government
府 I-government
主 O
办 O
的 O
“ O
第 O
五 O
届 O
中 O
国 O
人 O
居 O
环 O
境 O
高 O
峰 O
论 O
坛 O
” O
当 O
然 O
并 O
不 O
是 O
所 O
有 O
的 O
二 O
线 O
海 O
景 O
酒 O
店 O
离 O
海 O
边 O
都 O
这 O
么 O
近 O
， O
像 O
仙 O
人 O
掌 O
和 O
金 O
棕 O
榈 O
酒 O
店 O
， O
是 O
亚 B-scene
龙 I-scene
湾 I-scene
为 O
数 O
不 O
多 O
的 O
四 O
星 O
酒 O
店 O
， O
3 O
4 O
岁 O
的 O
嫌 O
疑 O
人 O
杨 O
某 O
原 O
是 O
北 B-address
京 I-address
某 O
电 O
台 O
广 O
告 O
业 B-position
务 I-position
员 I-position
， O
马 O
某 O
是 O
其 O
前 O
同 O
事 O
。 O
经 O
商 O
议 O
， O
二 O
人 O
进 O
行 O
了 O
分 O
工 O
。 O
END O
