香 B-organization
港 I-organization
中 I-organization
文 I-organization
一 O
位 O
老 B-position
师 I-position
认 O
为 O
， O
对 O
于 O
国 O
有 O
金 O
融 O
控 O
股 O
企 O
业 O
， O
由 O
于 O
出 O
资 O
方 O
是 O
国 O
家 O
， O
高 O
管 O
通 O
常 O
承 O
担 O
的 O
风 O
险 O
很 O
小 O
， O
姚 B-name
远 I-name
利 I-name
最 O
早 O
涉 O
猎 O
收 O
藏 O
始 O
于 O
砚 O
台 O
， O
后 O
发 O
现 O
匾 O
额 O
才 O
是 O
其 O
乐 O
趣 O
所 O
在 O
， O
遂 O
一 O
发 O
而 O
不 O
可 O
收 O
拾 O
， O
直 O
到 O
建 O
立 O
“ O
科 B-scene
举 I-scene
匾 I-scene
额 I-scene
博 I-scene
物 I-scene
馆 I-scene
” O
。 O
END O
