猎 B-scene
人 I-scene
谷 I-scene
的 O
热 O
气 O
球 O
每 O
天 O
早 O
上 O
都 O
在 O
日 O
出 O
之 O
时 O
起 O
飞 O
， O
所 O
以 O
大 O
约 O
需 O
要 O
在 O
日 O
出 O
前 O
一 O
小 O
时 O
到 O
达 O
集 O
合 O
地 O
点 O
彼 B-address
得 I-address
森 I-address
的 I-address
香 I-address
槟 I-address
大 I-address
厦 I-address
据 O
黑 B-organization
龙 I-organization
江 I-organization
大 I-organization
豆 I-organization
协 I-organization
会 I-organization
有 O
关 O
人 O
士 O
介 O
绍 O
， O
此 O
前 O
拍 O
卖 O
的 O
国 O
储 O
大 O
豆 O
很 O
多 O
都 O
是 O
来 O
自 O
露 O
天 O
存 O
放 O
的 O
。 O
END O
