丽 B-scene
江 I-scene
古 I-scene
城 I-scene
内 O
的 O
餐 O
厅 O
人 O
均 O
价 O
格 O
在 O
1 O
0 O
0 O
元 O
左 O
右 O
， O
如 O
果 O
去 O
古 O
城 O
里 O
的 O
酒 O
吧 O
， O
小 O
瓶 O
的 O
啤 O
酒 O
一 O
般 O
最 O
低 O
要 O
1 O
8 O
元 O
/ O
瓶 O
， O
姜 B-name
山 I-name
冷 O
门 O
搜 O
索 O
： O
米 B-organization
堡 I-organization
摆 O
脱 O
“ O
魔 O
咒 O
” O
曼 B-organization
联 I-organization
客 O
场 O
防 O
平 O
局 O
中 O
国 O
的 O
W B-game
A I-game
R I-game
3 I-game
氛 O
围 O
是 O
世 O
界 O
最 O
好 O
的 O
， O
我 O
们 O
欢 O
迎 O
更 O
多 O
的 O
爱 O
好 O
者 O
加 O
入 O
到 O
我 O
们 O
这 O
个 O
大 O
家 O
庭 O
来 O
。 O
END O
