东 B-organization
阳 I-organization
市 I-organization
红 I-organization
木 I-organization
家 I-organization
具 I-organization
行 I-organization
业 I-organization
协 I-organization
会 I-organization
副 B-position
秘 I-position
书 I-position
长 I-position
金 B-name
欲 I-name
媚 I-name
说 O
， O
部 O
分 O
原 O
材 O
料 O
最 O
近 O
两 O
个 O
月 O
涨 O
了 O
很 O
多 O
， O
因 O
为 O
国 O
内 O
外 O
木 O
材 O
供 B-position
应 I-position
商 I-position
出 O
了 O
问 O
题 O
， O
我 O
只 O
能 O
做 O
一 O
些 O
指 O
导 O
性 O
的 O
意 O
见 O
， O
毕 O
竟 O
D B-game
o I-game
t I-game
A I-game
日 O
新 O
月 O
异 O
， O
只 O
要 O
从 O
职 O
业 O
的 O
位 O
置 O
上 O
退 O
下 O
来 O
， O
就 O
别 O
说 O
太 O
多 O
的 O
好 O
。 O
END O
