中 B-address
国 I-address
演 B-position
员 I-position
修 B-name
庆 I-name
（ O
官 O
方 O
微 O
博 O
） O
工 O
作 O
请 O
电 O
邮 O
经 O
纪 O
人 O
祝 B-name
君 I-name
（ O
d B-email
a I-email
n I-email
g I-email
h I-email
o I-email
n I-email
g I-email
x I-email
i I-email
a I-email
o I-email
z I-email
h I-email
u I-email
@ I-email
y I-email
a I-email
h I-email
o I-email
o I-email
. I-email
c I-email
n I-email
) O
， O
实 O
力 O
派 O
演 B-position
员 I-position
修 B-name
庆 I-name
， O
代 O
表 O
作 O
： O
《 B-movie
血 I-movie
色 I-movie
残 I-movie
阳 I-movie
》 I-movie
《 B-movie
新 I-movie
霍 I-movie
元 I-movie
甲 I-movie
》 I-movie
《 B-movie
天 I-movie
龙 I-movie
八 I-movie
部 I-movie
》 I-movie
END O
