美 B-company
联 I-company
物 O
业 O
市 O
场 O
研 O
究 O
部 O
总 B-position
监 I-position
张 B-name
大 I-name
伟 I-name
介 O
绍 O
目 O
前 O
的 O
市 O
场 O
状 O
况 O
与 O
0 O
7 O
年 O
底 O
非 O
常 O
接 O
近 O
， O
成 O
交 O
量 O
依 O
然 O
很 O
火 O
， O
《 B-game
鹰 I-game
击 I-game
长 I-game
空 I-game
》 I-game
回 O
答 O
玩 O
家 O
问 O
题 O
之 O
第 O
五 O
部 O
分 O
陕 B-address
西 I-address
7 O
0 O
- O
2 O
0 O
万 O
年 O
北 B-address
京 I-address
人 O
制 O
石 O
器 O
， O
天 O
然 O
火 O
3 O
万 O
年 O
山 O
顶 O
洞 O
人 O
加 O
工 O
器 O
， O
骨 O
器 O
， O
人 O
工 O
取 O
火 O
， O
黄 B-address
河 I-address
流 I-address
域 I-address
: O
命 O
运 O
注 O
定 O
了 O
她 O
生 O
就 O
为 O
了 O
还 O
泪 O
而 O
来 O
， O
然 O
而 O
一 O
生 O
的 O
眼 O
泪 O
流 O
尽 O
之 O
后 O
， O
等 O
待 O
她 O
的 O
又 O
会 O
是 O
什 O
么 O
… O
END O
