玺 B-name
恩 I-name
@ O
約 O
書 O
亞 O
樂 O
團 O
， O
從 O
第 O
一 O
張 O
喜 O
出 O
望 O
外 O
專 O
輯 O
到 O
現 O
在 O
， O
謝 O
謝 O
大 O
家 O
的 O
支 O
持 O
， O
永 O
遠 O
不 O
會 O
停 O
止 O
歌 O
唱 O
～ O
！ O
工 O
作 O
表 O
演 O
邀 O
約 O
請 O
找 O
M O
O O
M O
O O
: O
+ B-mobile
8 I-mobile
8 I-mobile
6 I-mobile
9 I-mobile
2 I-mobile
0 I-mobile
4 I-mobile
9 I-mobile
4 I-mobile
7 I-mobile
0 I-mobile
0 I-mobile
/ O
z B-email
o I-email
a I-email
b I-email
o I-email
u I-email
t I-email
@ I-email
g I-email
m I-email
a I-email
i I-email
l I-email
. I-email
c I-email
o I-email
m I-email
， O
台 B-position
湾 I-position
歌 I-position
手 I-position
END O
