教 B-government
育 I-government
部 I-government
国 I-government
际 I-government
合 I-government
作 I-government
与 I-government
交 I-government
流 I-government
司 I-government
司 B-position
长 I-position
张 B-name
秀 I-name
琴 I-name
日 O
前 O
指 O
出 O
， O
2 O
0 O
0 O
8 O
年 O
全 O
年 O
中 O
国 O
出 O
国 O
留 O
学 O
人 O
数 O
1 O
7 O
. O
9 O
8 O
万 O
人 O
， O
据 O
开 B-position
发 I-position
商 I-position
贝 B-company
塞 I-company
斯 I-company
达 I-company
表 O
示 O
， O
立 O
方 O
体 O
迷 O
阵 O
是 O
最 O
令 O
人 O
深 O
刻 O
的 O
M O
O O
D O
S O
之 O
一 O
。 O
END O
