美 B-government
国 I-government
海 I-government
军 I-government
发 O
展 O
报 O
告 O
称 O
， O
将 O
在 O
2 O
0 O
3 O
5 O
年 O
前 O
进 O
一 O
步 O
缩 O
减 O
大 O
型 O
战 O
舰 O
规 O
模 O
， O
5 O
、 O
布 B-organization
莱 I-organization
克 I-organization
本 I-organization
v O
s O
利 B-organization
物 I-organization
浦 I-organization
推 O
荐 O
： O
3 O
0 O
游 O
戏 O
中 O
提 O
供 O
了 O
傍 O
晚 O
的 O
中 B-address
国 I-address
上 I-address
海 I-address
、 O
澳 B-address
大 I-address
利 I-address
亚 I-address
巴 I-address
瑟 I-address
斯 I-address
特 I-address
赛 I-address
道 I-address
， O
和 O
深 O
夜 O
的 O
比 B-address
利 I-address
时 I-address
斯 I-address
帕 I-address
- I-address
弗 I-address
朗 I-address
科 I-address
尔 I-address
尚 I-address
F I-address
1 I-address
赛 I-address
道 I-address
。 O
END O
