重 B-company
庆 I-company
国 I-company
际 I-company
信 I-company
托 I-company
逐 O
渐 O
发 O
展 O
为 O
管 O
理 O
资 O
产 O
规 O
模 O
6 O
0 O
0 O
亿 O
元 O
、 O
连 O
续 O
3 O
年 O
利 O
润 O
超 O
过 O
5 O
亿 O
元 O
的 O
西 O
部 O
第 O
一 O
信 O
托 O
公 O
司 O
, O
而 O
现 O
在 O
博 O
彩 O
公 O
司 O
开 O
出 O
的 O
实 O
际 O
盘 O
口 O
形 O
势 O
为 O
a B-organization
c I-organization
米 I-organization
兰 I-organization
主 O
场 O
让 O
球 O
半 O
/ O
两 O
球 O
2 O
0 O
0 O
高 O
水 O
, O
的 O
甜 O
美 O
蜜 O
月 O
、 O
《 B-movie
黑 I-movie
衣 I-movie
人 I-movie
2 I-movie
》 I-movie
的 O
小 O
别 O
胜 O
新 O
婚 O
（ O
从 O
此 O
以 O
后 O
参 O
演 O
的 O
任 O
何 O
一 O
部 O
电 O
影 O
, O
北 O
美 O
票 O
房 O
弹 O
无 O
虚 O
发 O
地 O
冲 O
破 O
1 O
亿 O
＄ O
大 O
关 O
） O
乌 B-organization
迪 I-organization
内 I-organization
斯 I-organization
0 O
- O
2 O
多 B-organization
特 I-organization
蒙 I-organization
德 I-organization
（ O
点 O
球 O
- O
乌 B-organization
迪 I-organization
内 I-organization
斯 I-organization
胜 O
） O
金 B-name
庸 I-name
不 O
敢 O
怠 O
慢 O
, O
还 O
是 O
会 O
查 O
阅 O
、 O
接 O
触 O
相 O
关 O
正 B-book
史 I-book
、 O
野 B-book
史 I-book
甚 O
至 O
演 B-book
义 I-book
等 O
相 O
关 O
著 O
作 O
。 O
注 O
所 O
谓 O
何 B-name
璘 I-name
的 O
《 B-book
沣 I-book
州 I-book
志 I-book
》 I-book
这 O
本 O
书 O
, O
m B-name
o I-name
o I-name
r I-name
e I-name
- I-name
g I-name
w I-name
y I-name
n I-name
） O
表 O
示 O
： O
“ O
这 O
是 O
透 B-name
纳 I-name
绝 O
佳 O
的 O
作 O
品 O
。 O
这 O
是 O
众 O
多 O
曾 O
描 O
绘 O
过 O
罗 B-scene
马 I-scene
的 O
画 O
作 O
中 O
, O
达 B-address
拉 I-address
维 I-address
平 I-address
民 I-address
窟 I-address
, O
END O
