发 B-government
改 I-government
委 I-government
： O
政 O
府 O
创 O
投 O
引 O
导 O
基 O
金 O
扶 O
持 O
初 O
创 O
企 O
业 O
赌 O
伯 B-name
南 I-name
克 I-name
再 O
降 O
息 O
大 O
投 O
资 O
的 O
制 O
作 O
下 O
， O
不 O
过 O
是 O
有 O
了 O
花 O
团 O
锦 O
簇 O
的 O
画 O
面 O
。 O
从 O
各 O
个 O
角 O
度 O
讲 O
， O
《 B-movie
神 I-movie
机 I-movie
箭 I-movie
》 I-movie
都 O
要 O
比 O
《 B-movie
好 I-movie
家 I-movie
伙 I-movie
坏 I-movie
家 I-movie
伙 I-movie
怪 I-movie
家 I-movie
伙 I-movie
》 I-movie
整 O
个 O
俱 O
乐 O
部 O
何 O
去 O
何 O
从 O
难 O
以 O
预 O
料 O
， O
这 O
导 O
致 O
军 O
心 O
不 O
稳 O
。 O
本 O
轮 O
回 O
主 O
场 O
， O
不 O
知 O
斯 B-name
帕 I-name
莱 I-name
蒂 I-name
手 O
中 O
有 O
几 O
张 O
牌 O
可 O
打 O
？ O
END O
