塚 B-name
田 I-name
良 I-name
平 I-name
， O
日 B-position
本 I-position
著 I-position
名 I-position
资 I-position
深 I-position
音 I-position
乐 I-position
人 I-position
， O
天 B-position
娱 I-position
青 I-position
春 I-position
计 I-position
划 I-position
执 I-position
行 I-position
校 I-position
长 I-position
， O
2 B-position
0 I-position
1 I-position
1 I-position
年 I-position
《 I-position
快 I-position
乐 I-position
女 I-position
声 I-position
》 I-position
培 I-position
训 I-position
总 I-position
指 I-position
导 I-position
。 O
， O
日 B-position
本 I-position
著 I-position
名 I-position
资 I-position
深 I-position
音 I-position
乐 I-position
人 I-position
， O
天 B-position
娱 I-position
青 I-position
春 I-position
计 I-position
划 I-position
执 I-position
行 I-position
校 I-position
长 I-position
， O
2 B-position
0 I-position
1 I-position
1 I-position
快 I-position
乐 I-position
女 I-position
声 I-position
培 I-position
训 I-position
总 I-position
指 I-position
导 I-position
。 O
END O
