《 B-movie
汽 I-movie
车 I-movie
驾 I-movie
驶 I-movie
员 I-movie
》 I-movie
原 O
本 O
是 O
派 B-company
拉 I-company
蒙 I-company
公 I-company
司 I-company
的 O
一 O
部 O
电 O
影 O
， O
由 O
好 B-address
莱 I-address
坞 I-address
动 B-position
作 I-position
影 I-position
星 I-position
文 B-name
迪 I-name
索 I-name
尔 I-name
( O
V O
i O
n O
大 O
破 O
“ O
森 O
林 O
发 O
夹 O
弯 O
” O
的 O
赛 O
道 O
记 O
录 O
， O
无 O
奈 O
势 O
单 O
力 O
薄 O
， O
橘 B-organization
子 I-organization
熊 I-organization
以 O
7 O
： O
3 O
拿 O
下 O
K O
R O
的 O
胜 O
利 O
， O
市 O
多 O
所 O
高 O
校 O
3 O
0 O
0 O
余 O
名 O
特 O
困 O
大 B-position
学 I-position
生 I-position
。 O
END O
