黃 B-company
禾 I-company
音 I-company
樂 I-company
工 I-company
作 I-company
室 I-company
負 O
責 O
人 O
演 O
出 O
請 O
洽 O
: O
台 O
灣 O
與 O
其 O
他 O
地 O
區 O
- O
牟 B-name
鐘 I-name
恩 I-name
: O
8 B-mobile
8 I-mobile
6 I-mobile
- I-mobile
9 I-mobile
2 I-mobile
4 I-mobile
0 I-mobile
2 I-mobile
1 I-mobile
0 I-mobile
2 I-mobile
1 I-mobile
琍 B-name
萍 I-name
姐 O
: O
8 B-mobile
8 I-mobile
6 I-mobile
- I-mobile
9 I-mobile
1 I-mobile
0 I-mobile
0 I-mobile
0 I-mobile
0 I-mobile
6 I-mobile
0 I-mobile
2 I-mobile
內 O
地 O
- O
樂 O
海 O
盛 O
世 O
- O
王 B-name
海 I-name
麗 I-name
- O
1 B-mobile
8 I-mobile
6 I-mobile
1 I-mobile
0 I-mobile
0 I-mobile
9 I-mobile
5 I-mobile
8 I-mobile
8 I-mobile
3 I-mobile
非 O
工 O
作 O
洽 O
談 O
勿 O
擾 O
! O
， O
台 B-position
湾 I-position
歌 I-position
手 I-position
， O
被 O
称 O
为 O
铁 O
肺 O
王 O
子 O
、 O
高 O
音 O
之 O
神 O
END O
