大 B-book
众 I-book
软 I-book
件 I-book
： O
第 B-game
8 I-game
分 I-game
队 I-game
敌 I-game
视 I-game
玩 O
出 O
光 B-game
晕 I-game
范 O
儿 O
缩 O
水 O
” O
违 O
背 O
了 O
诚 O
信 O
原 O
则 O
和 O
国 B-government
家 I-government
体 I-government
彩 I-government
中 I-government
心 I-government
的 O
限 O
赔 O
措 O
施 O
取 O
消 O
通 O
知 O
为 O
由 O
， O
将 O
体 B-government
彩 I-government
中 I-government
心 I-government
起 O
诉 O
到 O
北 B-government
京 I-government
市 I-government
宣 I-government
武 I-government
区 I-government
法 I-government
院 I-government
， O
前 O
几 O
年 O
在 O
实 O
施 O
丽 B-address
泽 I-address
地 I-address
区 I-address
建 O
设 O
的 O
时 O
候 O
， O
我 O
们 O
推 O
动 O
速 O
度 O
并 O
没 O
有 O
那 O
么 O
快 O
， O
没 O
有 O
急 O
于 O
解 O
决 O
， O
两 O
队 O
在 O
意 B-organization
甲 I-organization
联 O
赛 O
历 O
史 O
上 O
只 O
交 O
战 O
过 O
2 O
4 O
场 O
， O
莱 B-organization
切 I-organization
队 I-organization
1 O
胜 O
8 O
平 O
1 O
5 O
负 O
处 O
于 O
劣 O
势 O
， O
进 O
1 O
9 O
球 O
失 O
5 O
3 O
球 O
； O
END O
