隽 B-company
体 I-company
D I-company
N I-company
A I-company
健 I-company
身 I-company
工 I-company
作 I-company
室 I-company
总 B-position
监 I-position
， O
合 O
健 O
道 O
最 O
佳 O
训 O
练 O
体 O
系 O
创 B-position
始 I-position
人 I-position
， O
奥 O
运 O
冠 O
军 O
的 O
私 O
人 O
教 O
练 O
， O
职 O
业 O
运 O
动 O
体 O
适 O
能 O
、 O
康 O
复 O
体 O
适 O
能 O
、 O
高 O
尔 O
夫 O
体 O
适 O
能 O
教 O
练 O
。 O
咨 O
询 O
电 O
话 O
： O
1 B-mobile
8 I-mobile
5 I-mobile
0 I-mobile
0 I-mobile
0 I-mobile
5 I-mobile
7 I-mobile
5 I-mobile
9 I-mobile
1 I-mobile
， O
《 O
美 O
丽 O
俏 O
佳 O
人 O
》 O
栏 O
目 O
特 O
约 O
健 B-position
身 I-position
专 I-position
家 I-position
、 O
奥 B-position
运 I-position
私 I-position
教 I-position
沈 B-name
韦 I-name
羲 I-name
END O
