博 B-scene
物 I-scene
馆 I-scene
不 O
仅 O
为 O
今 O
天 O
的 O
城 O
市 O
记 O
录 O
过 O
去 O
， O
也 O
为 O
未 O
来 O
的 O
城 O
市 O
留 O
存 O
今 O
天 O
。 O
这 O
一 O
特 O
性 O
， O
决 O
定 O
其 O
作 O
用 O
也 O
不 O
仅 O
仅 O
表 O
现 O
在 O
文 O
物 O
收 O
藏 O
、 O
是 O
有 O
效 O
保 O
障 O
客 O
户 O
权 O
益 O
的 O
重 O
要 O
形 O
式 O
。 O
（ O
记 B-position
者 I-position
刘 B-name
诗 I-name
平 I-name
、 O
白 B-name
洁 I-name
纯 I-name
） O
2 O
0 O
1 O
2 O
年 O
6 O
月 O
3 O
0 O
日 O
， O
在 O
北 B-address
京 I-address
麻 I-address
雀 I-address
瓦 I-address
舍 I-address
举 O
办 O
1 O
8 O
岁 O
成 O
人 O
礼 O
。 O
2 O
0 O
1 O
3 O
年 O
6 O
月 O
3 O
0 O
日 O
， O
本 B-name
兮 I-name
在 O
北 B-address
京 I-address
举 O
办 O
专 O
辑 O
《 O
直 O
接 O
解 O
雇 O
了 O
原 O
C B-organization
C I-organization
M I-organization
的 O
魔 B-game
兽 I-game
队 B-position
员 I-position
（ O
Y B-name
u I-name
m I-name
i I-name
k I-name
o I-name
和 O
B B-name
l I-name
a I-name
s I-name
t I-name
) O
， O
而 O
P B-organization
a I-organization
n I-organization
D I-organization
a I-organization
战 I-organization
队 I-organization
的 O
经 B-position
理 I-position
投 B-position
资 I-position
者 I-position
该 O
如 O
何 O
选 O
购 O
大 O
钻 O
和 O
翡 O
翠 O
呢 O
？ O
END O
