北 B-government
京 I-government
市 I-government
第 I-government
一 I-government
中 I-government
级 I-government
人 I-government
民 I-government
法 I-government
院 I-government
认 O
为 O
， O
王 B-name
益 I-name
身 O
为 O
国 O
家 O
工 O
作 O
人 O
员 O
， O
利 O
用 O
职 O
务 O
便 O
利 O
， O
索 O
取 O
、 O
收 O
受 O
他 O
人 O
财 O
物 O
， O
为 O
他 O
人 O
谋 O
取 O
利 O
益 O
， O
建 B-company
行 I-company
的 O
这 O
位 O
负 B-position
责 I-position
人 I-position
透 O
露 O
， O
通 O
过 O
商 O
业 O
性 O
个 O
人 O
住 O
房 O
贷 O
款 O
投 O
放 O
， O
建 B-company
行 I-company
已 O
累 O
计 O
支 O
持 O
8 O
0 O
0 O
多 O
万 O
户 O
居 O
民 O
实 O
现 O
购 O
房 O
安 O
居 O
； O
END O
