中 B-organization
国 I-organization
歌 I-organization
剧 I-organization
舞 I-organization
剧 I-organization
院 I-organization
， O
代 O
表 O
作 O
品 O
《 B-movie
忆 I-movie
江 I-movie
南 I-movie
》 I-movie
， I-movie
≪ I-movie
放 I-movie
飞 I-movie
≫ I-movie
， I-movie
《 I-movie
阳 I-movie
光 I-movie
下 I-movie
的 I-movie
儿 I-movie
女 I-movie
》 I-movie
， I-movie
《 I-movie
你 I-movie
是 I-movie
我 I-movie
阳 I-movie
光 I-movie
》 I-movie
， I-movie
《 I-movie
家 I-movie
国 I-movie
春 I-movie
秋 I-movie
路 I-movie
》 I-movie
≪ I-movie
军 I-movie
之 I-movie
恋 I-movie
≫ I-movie
工 O
作 O
联 O
系 O
： O
刘 B-name
老 I-name
师 I-name
1 B-mobile
3 I-mobile
9 I-mobile
1 I-mobile
0 I-mobile
7 I-mobile
3 I-mobile
5 I-mobile
5 I-mobile
8 I-mobile
5 I-mobile
， O
青 B-position
年 I-position
歌 I-position
手 I-position
END O
