【 B-scene
北 I-scene
邙 I-scene
山 I-scene
】 I-scene
道 O
具 O
收 O
集 O
G B-organization
联 I-organization
赛 I-organization
星 B-game
际 I-game
2 I-game
项 O
目 O
代 O
打 O
事 O
件 O
的 O
处 O
罚 O
公 O
告 O
玩 O
家 O
的 O
创 O
造 O
力 O
是 O
无 O
穷 O
的 O
, O
现 O
在 O
的 O
好 O
游 O
戏 O
, O
大 O
都 O
是 O
靠 O
好 O
M O
O O
D O
延 O
续 O
生 O
命 O
（ O
d B-game
o I-game
t I-game
a I-game
已 O
经 O
证 O
明 O
了 O
这 O
点 O
） O
欧 B-name
阳 I-name
询 I-name
, O
颜 B-name
真 I-name
卿 I-name
, O
柳 B-name
公 I-name
权 I-name
, O
赵 B-name
孟 I-name
頫 I-name
行 O
书 O
: O
王 B-name
羲 I-name
之 I-name
《 B-book
兰 I-book
亭 I-book
序 I-book
》 I-book
“ O
天 O
下 O
第 O
一 O
行 O
书 O
” O
夏 O
商 O
周 O
: O
铜 O
烹 O
时 O
代 O
西 O
汉 O
: O
2 O
0 O
0 O
4 O
年 O
1 O
2 O
月 O
1 O
6 O
日 O
, O
3 O
2 O
岁 O
的 O
于 B-name
海 I-name
到 O
湖 B-company
南 I-company
省 I-company
福 I-company
利 I-company
彩 I-company
票 I-company
中 I-company
心 I-company
兑 O
奖 O
— O
— O
一 O
等 O
奖 O
二 O
等 O
奖 O
各 O
一 O
注 O
, O
顺 O
便 O
一 O
提 O
, O
不 O
温 O
不 O
火 O
的 O
《 B-movie
超 I-movie
人 I-movie
归 I-movie
来 I-movie
》 I-movie
对 O
提 O
升 O
人 O
气 O
毫 O
无 O
帮 O
助 O
这 O
点 O
, O
不 O
止 O
是 O
针 O
对 O
史 B-name
派 I-name
西 I-name
, O
“ B-name
超 I-name
女 I-name
郎 I-name
” I-name
凯 I-name
特 I-name
· I-name
深 B-government
交 I-government
所 I-government
发 O
布 O
了 O
上 O
市 O
公 O
司 O
内 O
部 O
控 O
制 O
制 O
约 O
。 O
去 O
年 O
财 B-government
政 I-government
部 I-government
证 I-government
监 I-government
会 I-government
审 I-government
计 I-government
署 I-government
银 I-government
监 I-government
会 I-government
和 O
保 B-government
监 I-government
会 I-government
又 O
联 O
合 O
颁 O
布 O
了 O
内 O
部 O
控 O
制 O
基 O
本 O
规 O
范 O
, O
记 B-position
者 I-position
电 O
话 O
采 O
访 O
了 O
卫 B-organization
生 I-organization
部 I-organization
农 I-organization
村 I-organization
卫 I-organization
生 I-organization
管 I-organization
理 I-organization
司 I-organization
合 I-organization
作 I-organization
医 I-organization
疗 I-organization
处 I-organization
, O
一 O
位 O
姓 O
温 O
（ O
音 O
） O
的 O
工 O
作 O
人 O
员 O
表 O
示 O
, O
END O
