记 B-position
者 I-position
采 O
访 O
时 O
发 O
现 O
， O
在 O
成 B-address
通 I-address
文 I-address
化 I-address
城 I-address
中 O
， O
很 O
多 O
商 O
家 O
都 O
把 O
贵 O
金 O
属 O
币 O
、 O
流 O
通 O
纪 O
念 O
币 O
、 O
纸 O
质 O
人 O
民 O
币 O
摆 O
在 O
柜 O
台 O
的 O
显 O
眼 O
位 O
置 O
， O
2 O
0 O
0 O
6 O
年 O
8 O
月 O
1 O
9 O
日 O
下 O
午 O
1 O
7 O
时 O
1 O
9 O
分 O
， O
成 B-address
都 I-address
大 I-address
熊 I-address
猫 I-address
繁 I-address
育 I-address
研 I-address
究 I-address
基 I-address
地 I-address
的 O
大 O
熊 O
猫 O
娅 B-name
娅 I-name
生 O
下 O
了 O
一 O
只 O
雌 O
性 O
幼 O
仔 O
。 O
END O
