好 B-organization
莱 I-organization
坞 I-organization
国 B-position
际 I-position
影 I-position
视 I-position
巨 I-position
星 I-position
， O
日 B-address
本 I-address
电 O
影 O
界 O
的 O
佼 O
佼 O
者 O
。 O
俳 O
優 O
・ O
歌 B-position
手 I-position
・ O
映 O
画 O
監 O
督 O
・ O
空 O
手 O
家 O
で O
あ O
る O
。 O
日 B-address
本 I-address
を O
代 O
表 O
す O
る O
映 O
画 O
ス O
タ O
ー O
， O
世 O
界 O
で O
は O
S O
o O
n O
n O
y O
C O
h O
i O
b O
a O
の O
名 O
で O
知 O
ら O
れ O
て O
い O
る O
。 O
， O
日 B-position
本 I-position
演 I-position
员 I-position
千 B-name
叶 I-name
真 I-name
一 I-name
END O
