深 B-company
圳 I-company
发 I-company
展 I-company
银 I-company
行 I-company
职 O
员 O
侵 O
占 O
公 O
款 O
3 O
0 O
0 O
0 O
多 O
万 O
元 O
赌 O
球 O
根 O
据 O
泗 B-address
水 I-address
县 I-address
县 B-position
委 I-position
宣 O
传 O
部 O
提 O
供 O
的 O
调 O
查 O
材 O
料 O
显 O
示 O
， O
自 O
去 O
年 O
下 O
半 O
年 O
以 O
来 O
， O
泗 O
水 O
县 O
砭 O
石 O
原 O
矿 O
流 O
失 O
到 O
外 O
地 O
2 O
0 O
万 O
吨 O
以 O
上 O
， O
这 O
样 O
持 O
卡 O
人 O
便 O
可 O
以 O
足 O
不 O
出 O
户 O
轻 O
松 O
还 O
款 O
。 O
商 O
报 O
记 B-position
者 I-position
孟 B-name
凡 I-name
霞 I-name
王 B-name
丹 I-name
/ O
文 O
陈 B-name
伟 I-name
/ O
摄 O
中 O
国 O
区 O
出 O
线 O
的 O
队 O
伍 O
将 O
会 O
前 O
往 O
马 B-address
来 I-address
西 I-address
亚 I-address
汇 O
集 O
世 O
界 O
强 O
队 O
争 O
夺 O
D B-game
O I-game
T I-game
A I-game
最 O
高 O
荣 O
誉 O
。 O
END O
