浙 B-company
商 I-company
银 I-company
行 I-company
企 O
业 O
信 O
贷 O
部 O
叶 B-name
老 I-name
桂 I-name
博 O
士 O
则 O
从 O
另 O
一 O
个 O
角 O
度 O
对 O
五 O
道 O
门 O
槛 O
进 O
行 O
了 O
解 O
读 O
。 O
叶 O
老 O
桂 O
认 O
为 O
， O
对 O
目 O
前 O
国 O
内 O
商 O
业 O
银 O
行 O
而 O
言 O
， O
生 O
生 O
不 O
息 O
C B-game
S I-game
O I-game
L I-game
生 O
化 O
狂 O
潮 O
让 O
你 O
填 O
弹 O
狂 O
扫 O
那 B-organization
不 I-organization
勒 I-organization
斯 I-organization
v O
s O
锡 B-organization
耶 I-organization
纳 I-organization
以 O
及 O
桑 B-organization
普 I-organization
v O
s O
热 B-organization
那 I-organization
亚 I-organization
之 O
上 O
呢 O
？ O
END O
