成 B-government
都 I-government
原 I-government
高 I-government
新 I-government
区 I-government
管 I-government
委 I-government
会 I-government
副 B-position
主 I-position
任 I-position
挪 O
用 O
公 O
款 O
被 O
判 O
无 O
期 O
标 B-organization
准 I-organization
列 I-organization
日 I-organization
v O
s O
桑 B-organization
普 I-organization
多 I-organization
利 I-organization
亚 I-organization
本 O
届 O
G O
D O
C O
将 O
邀 O
请 O
任 O
天 B-position
堂 I-position
社 I-position
长 I-position
岩 B-name
田 I-name
聪 I-name
与 O
《 B-book
合 I-book
金 I-book
装 I-book
备 I-book
》 I-book
系 O
列 O
之 O
父 O
小 O
岛 O
秀 O
夫 O
登 O
台 O
进 O
行 O
主 O
题 O
演 O
讲 O
， O
小 O
时 O
候 O
我 O
们 O
看 O
绿 B-book
野 I-book
仙 I-book
踪 I-book
时 O
， O
总 O
会 O
沉 O
浸 O
于 O
绿 B-book
野 I-book
仙 I-book
踪 I-book
所 O
描 O
绘 O
的 O
童 O
话 O
世 O
界 O
中 O
， O
憧 O
憬 O
着 O
自 O
己 O
能 O
像 O
多 B-name
罗 I-name
茜 I-name
一 O
样 O
， O
一 O
位 O
商 O
铺 O
的 O
老 B-position
板 I-position
告 O
诉 O
记 B-position
者 I-position
： O
“ O
办 O
一 O
个 O
p O
o O
s O
刷 O
卡 O
机 O
， O
需 O
要 O
交 O
1 O
% O
的 O
手 O
续 O
费 O
。 O
END O
